At (s)	Wall clock time (ms)			CPU time (ms)					MB			
	STW sweep	Concurrent	STW mark	STW seep	Assist	BG	Idle	STW mark	At start	At end	Live heap	Goal heap
102.665	0.037	85	0.076	0.22	0.36	120	299	0.46	491	501	253	503
104.272	0.037	85	0.17	0.22	0.4	120	311	1	495	505	257	507
105.88	0.037	85	0.002	0.22	0.74	121	310	0.015	502	511	260	515
107.552	0.034	85	0.016	0.2	0.56	122	304	0.1	507	515	260	520
109.215	0.033	88	0.041	0.2	0.24	128	314	0.24	508	516	263	521
110.962	0.035	96	0.007	0.21	0.32	136	303	0.042	513	523	266	526
112.786	0.034	90	0.17	0.2	0.97	136	320	1	520	527	268	533
114.498	0.034	91	0.016	0.2	0.36	133	327	0.1	523	533	272	537
116.222	0.037	95	0.012	0.22	0.26	136	343	0.074	531	540	275	545
117.989	0.039	94	0.17	0.23	0.36	135	340	1	537	545	278	551
119.725	0.038	95	0.056	0.22	0.25	137	343	0.34	543	552	281	557
121.507	0.036	96	0.015	0.21	0.25	139	346	0.09	549	558	283	563
123.324	0.037	98	0.022	0.22	0.34	143	349	0.13	553	564	288	567
125.197	0.037	102	0.01	0.22	0.45	146	368	0.061	562	572	292	576
127.077	0.041	102	0.003	0.24	0.36	150	367	0.019	570	581	296	585
128.922	0.037	117	0.033	0.22	0.25	164	358	0.2	578	590	301	593
130.83	0.033	107	0.02	0.2	0.34	151	379	0.12	587	597	302	602
132.818	0.039	106	0.003	0.23	0.26	151	386	0.019	589	600	305	605
134.754	0.038	109	0.011	0.23	0.43	154	397	0.07	595	606	309	611
136.683	0.034	109	0.003	0.2	0.37	156	399	0.023	604	614	312	619
138.575	0.038	114	0.002	0.23	0.25	162	412	0.014	609	620	316	624
140.078	0.039	112	0.015	0.23	0.37	173	393	0.092	616	627	317	632
141.962	0.034	140	0.014	0.2	0.39	207	361	0.088	619	632	322	635
143.937	0.035	118	0.006	0.21	0.57	163	430	0.041	629	641	324	645
145.888	0.033	122	0.015	0.2	0.39	165	433	0.095	633	649	330	649
147.885	0.033	118	0.17	0.19	0.38	165	434	1	645	656	329	661
149.85	0.033	122	0.01	0.2	0.26	171	439	0.065	643	654	331	659
151.783	0.033	126	0.017	0.2	0.36	182	452	0.1	645	659	336	662
